hotel,is_canceled,stays_in_weekend_nights,stays_in_week_nights,adr
Resort Hotel,0,0,0,0
Resort Hotel,0,0,0,0
Resort Hotel,0,0,1,75
Resort Hotel,0,0,1,75
Resort Hotel,0,0,2,98
Resort Hotel,0,0,2,98
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,103
Resort Hotel,1,0,3,82
Resort Hotel,1,0,3,105.5
Resort Hotel,1,0,4,123
Resort Hotel,0,0,4,145
Resort Hotel,0,0,4,97
Resort Hotel,0,0,4,154.77
Resort Hotel,0,0,4,94.71
Resort Hotel,0,0,4,97
Resort Hotel,0,0,4,97.5
Resort Hotel,0,0,1,88.2
Resort Hotel,0,0,1,107.42
Resort Hotel,0,0,4,153
Resort Hotel,0,1,4,97.29
Resort Hotel,0,2,4,84.67
Resort Hotel,0,2,4,84.67
Resort Hotel,0,2,4,99.67
Resort Hotel,0,2,5,94.95
Resort Hotel,0,2,5,63.6
Resort Hotel,0,2,5,79.5
Resort Hotel,1,2,5,107
Resort Hotel,0,2,5,94
Resort Hotel,0,2,5,87.3
Resort Hotel,0,4,10,62
Resort Hotel,0,4,11,63.86
Resort Hotel,1,2,8,108.3
Resort Hotel,0,2,4,65.5
Resort Hotel,1,1,3,108.8
Resort Hotel,1,1,3,108.8
Resort Hotel,0,1,3,98
Resort Hotel,0,1,3,108.8
Resort Hotel,1,1,3,108.8
Resort Hotel,0,2,3,137
Resort Hotel,1,2,3,117.81
Resort Hotel,0,2,3,79.5
Resort Hotel,0,2,3,123
Resort Hotel,0,2,3,137
Resort Hotel,0,2,5,110.7
Resort Hotel,1,2,5,153
Resort Hotel,0,2,5,58.95
Resort Hotel,0,2,5,82.88
Resort Hotel,0,2,5,82.35
Resort Hotel,0,2,5,119.35
Resort Hotel,0,2,5,67.58
Resort Hotel,0,3,8,56.01
Resort Hotel,0,4,10,110.7
Resort Hotel,0,0,1,88.2
Resort Hotel,0,0,1,147
Resort Hotel,0,0,1,107
Resort Hotel,0,0,1,147
Resort Hotel,0,0,1,117.9
Resort Hotel,0,0,1,123
Resort Hotel,0,0,2,98
Resort Hotel,0,0,2,117.81
Resort Hotel,0,0,2,135
Resort Hotel,0,0,3,133
Resort Hotel,0,0,3,58.95
Resort Hotel,1,0,3,136.33
Resort Hotel,0,0,2,153
Resort Hotel,0,0,2,110.5
Resort Hotel,0,0,2,97
Resort Hotel,1,0,2,110.3
Resort Hotel,1,0,2,82
Resort Hotel,1,0,2,97
Resort Hotel,1,0,2,73.8
Resort Hotel,0,0,2,91.5
Resort Hotel,0,0,2,114.5
Resort Hotel,1,0,2,110.3
Resort Hotel,0,1,2,90.9
Resort Hotel,1,1,2,123
Resort Hotel,0,2,2,122
Resort Hotel,0,2,2,110.7
Resort Hotel,0,2,6,85.86
Resort Hotel,0,2,7,58.95
Resort Hotel,1,3,7,55.68
Resort Hotel,0,3,7,55.68
Resort Hotel,1,3,7,124
Resort Hotel,0,3,7,111.15
Resort Hotel,0,4,10,134.73
Resort Hotel,0,4,10,92.45
Resort Hotel,1,6,15,108.73
Resort Hotel,0,0,1,73.8
Resort Hotel,0,0,1,98
Resort Hotel,0,0,1,131
Resort Hotel,0,0,1,123
Resort Hotel,0,0,1,94.71
Resort Hotel,0,0,1,123
Resort Hotel,1,0,2,123
Resort Hotel,1,0,2,73.8
Resort Hotel,1,2,5,117
Resort Hotel,0,2,5,196.54
Resort Hotel,0,2,5,99.3
Resort Hotel,0,2,5,90.95
Resort Hotel,0,2,1,92.67
Resort Hotel,0,2,1,71.55
Resort Hotel,0,2,4,96.49
Resort Hotel,0,2,4,85.8
Resort Hotel,0,2,5,96.3
Resort Hotel,1,2,5,163
Resort Hotel,1,2,5,172
Resort Hotel,1,2,5,110.7
Resort Hotel,0,2,5,58.95
Resort Hotel,0,2,5,73.8
Resort Hotel,0,2,5,97
Resort Hotel,0,2,5,139
Resort Hotel,0,2,5,67.24
Resort Hotel,0,2,6,116.5
Resort Hotel,1,2,6,96.3
Resort Hotel,0,2,6,123
Resort Hotel,0,4,6,71.55
Resort Hotel,0,4,6,71.55
Resort Hotel,0,4,6,149
Resort Hotel,0,0,1,163
Resort Hotel,0,0,1,79.5
Resort Hotel,1,0,1,105
Resort Hotel,1,0,1,123
Resort Hotel,1,0,1,73.8
Resort Hotel,1,0,1,113
Resort Hotel,0,0,1,0
Resort Hotel,0,0,1,123
Resort Hotel,0,1,1,73.8
Resort Hotel,0,1,1,114.5
Resort Hotel,0,1,1,73.8
Resort Hotel,0,1,1,73.8
Resort Hotel,0,1,0,88.2
Resort Hotel,1,1,0,97
Resort Hotel,0,1,0,85.1
Resort Hotel,0,1,0,89
Resort Hotel,0,1,0,80.1
Resort Hotel,0,1,0,98
Resort Hotel,0,1,0,101
Resort Hotel,1,1,0,97
Resort Hotel,0,1,0,167
Resort Hotel,0,2,0,225
Resort Hotel,0,2,0,97
Resort Hotel,0,2,2,87.3
Resort Hotel,0,2,3,85.59
