reservation_status,reservation_status_date
Check-Out,7/1/15
Check-Out,7/1/15
Check-Out,7/2/15
Check-Out,7/2/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/3/15
Canceled,5/6/15
Canceled,4/22/15
Canceled,6/23/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/2/15
Check-Out,7/2/15
Check-Out,7/5/15
Check-Out,7/6/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/1/15
Check-Out,7/8/15
Check-Out,7/8/15
Canceled,5/11/15
Check-Out,7/8/15
Check-Out,7/8/15
Check-Out,7/15/15
Check-Out,7/16/15
Canceled,5/29/15
Check-Out,7/8/15
Canceled,5/19/15
Canceled,6/19/15
Check-Out,7/6/15
Check-Out,7/6/15
Canceled,5/23/15
Check-Out,7/7/15
Canceled,5/18/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/9/15
Canceled,6/2/15
Check-Out,7/9/15
Check-Out,7/9/15
Check-Out,7/9/15
Check-Out,7/9/15
Check-Out,7/9/15
Check-Out,7/13/15
Check-Out,7/16/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/3/15
Check-Out,7/4/15
Check-Out,7/4/15
Check-Out,7/4/15
Check-Out,7/5/15
Check-Out,7/5/15
Canceled,6/29/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/5/15
Canceled,6/16/15
Canceled,6/18/15
Canceled,7/3/15
Canceled,6/12/15
Check-Out,7/5/15
Check-Out,7/5/15
Canceled,6/9/15
Check-Out,7/6/15
Canceled,5/26/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/11/15
Check-Out,7/12/15
Canceled,5/19/15
Check-Out,7/13/15
Canceled,6/9/15
Check-Out,7/13/15
Check-Out,7/17/15
Check-Out,7/17/15
Canceled,4/15/15
Check-Out,7/4/15
Check-Out,7/4/15
Check-Out,7/4/15
Check-Out,7/4/15
Check-Out,7/4/15
Check-Out,7/4/15
Canceled,5/26/15
Canceled,6/29/15
Canceled,5/13/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/11/15
Canceled,6/9/15
Canceled,5/20/15
Canceled,4/22/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/12/15
Canceled,5/12/15
Check-Out,7/12/15
Check-Out,7/14/15
Check-Out,7/14/15
Check-Out,7/14/15
Check-Out,7/5/15
Check-Out,7/5/15
Canceled,5/29/15
No-Show,7/4/15
Canceled,5/13/15
Canceled,6/16/15
Check-Out,7/5/15
Check-Out,7/5/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/6/15
Canceled,7/1/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/6/15
Canceled,7/1/15
Check-Out,7/6/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/9/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/11/15
Check-Out,7/11/15
Canceled,6/17/15
Canceled,5/1/15
Check-Out,7/12/15
Check-Out,7/12/15
Canceled,3/30/15
Check-Out,7/12/15
Check-Out,7/14/15
Check-Out,7/15/15
Check-Out,7/15/15
Check-Out,7/16/15
Check-Out,7/19/15
Check-Out,7/19/15
Check-Out,7/11/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/6/15
Check-Out,7/6/15
Check-Out,7/7/15
Check-Out,7/8/15
Check-Out,7/8/15
Check-Out,7/9/15
Canceled,6/3/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/12/15
Check-Out,7/12/15
Check-Out,7/13/15
Canceled,6/26/15
Check-Out,7/13/15
Check-Out,7/14/15
Canceled,5/14/15
Check-Out,7/16/15
Check-Out,7/16/15
Check-Out,7/16/15
Check-Out,7/16/15
Check-Out,7/17/15
Check-Out,7/20/15
Check-Out,7/20/15
Check-Out,7/13/15
Canceled,5/7/15
Check-Out,7/10/15
Check-Out,7/10/15
Check-Out,7/7/15
Check-Out,7/7/15
Check-Out,7/8/15
Check-Out,7/8/15
Check-Out,7/8/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/11/15
Check-Out,7/11/15
Canceled,5/28/15
Canceled,4/13/15
Check-Out,7/14/15
Canceled,3/25/15
Check-Out,7/21/15
Check-Out,7/11/15
Check-Out,7/12/15
Check-Out,7/12/15
Canceled,5/28/15
Check-Out,7/12/15
Check-Out,7/12/15
Canceled,6/29/15
Check-Out,7/9/15
Canceled,7/8/15
Canceled,7/8/15
Check-Out,7/10/15
Canceled,5/28/15
Check-Out,7/14/15
Canceled,4/15/15
Check-Out,7/15/15
Check-Out,7/15/15
Check-Out,7/15/15
Check-Out,7/16/15
Check-Out,7/17/15
Check-Out,7/17/15
Check-Out,7/10/15
