arrival_date_year,arrival_date_month,arrival_date_day_of_month
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,1
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,2
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,3
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,4
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,5
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,6
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,7
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,8
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,9
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,10
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
2015,July,11
