hotel,adr,stays_in_weekend_nights,stays_in_week_nights,is_canceled
Resort Hotel,0.0,0,0,0
Resort Hotel,0.0,0,0,0
Resort Hotel,75.0,0,1,0
Resort Hotel,75.0,0,1,0
Resort Hotel,98.0,0,2,0
Resort Hotel,98.0,0,2,0
Resort Hotel,107.0,0,2,0
Resort Hotel,103.0,0,2,0
Resort Hotel,82.0,0,3,1
Resort Hotel,105.5,0,3,1
Resort Hotel,123.0,0,4,1
Resort Hotel,145.0,0,4,0
Resort Hotel,97.0,0,4,0
Resort Hotel,154.77,0,4,0
Resort Hotel,94.71,0,4,0
Resort Hotel,97.0,0,4,0
Resort Hotel,97.5,0,4,0
Resort Hotel,88.2,0,1,0
Resort Hotel,107.42,0,1,0
Resort Hotel,153.0,0,4,0
Resort Hotel,97.29,1,4,0
Resort Hotel,84.67,2,4,0
Resort Hotel,84.67,2,4,0
Resort Hotel,99.67,2,4,0
Resort Hotel,94.95,2,5,0
Resort Hotel,63.6,2,5,0
Resort Hotel,79.5,2,5,0
Resort Hotel,107.0,2,5,1
Resort Hotel,94.0,2,5,0
Resort Hotel,87.3,2,5,0
Resort Hotel,63.86,4,11,0
Resort Hotel,108.3,2,8,1
Resort Hotel,65.5,2,4,0
Resort Hotel,108.8,1,3,1
Resort Hotel,108.8,1,3,1
Resort Hotel,98.0,1,3,0
Resort Hotel,108.8,1,3,0
Resort Hotel,108.8,1,3,1
Resort Hotel,137.0,2,3,0
Resort Hotel,117.81,2,3,1
Resort Hotel,79.5,2,3,0
Resort Hotel,123.0,2,3,0
Resort Hotel,137.0,2,3,0
Resort Hotel,110.7,2,5,0
Resort Hotel,153.0,2,5,1
Resort Hotel,58.95,2,5,0
Resort Hotel,82.88,2,5,0
Resort Hotel,82.35,2,5,0
Resort Hotel,119.35,2,5,0
Resort Hotel,67.58,2,5,0
Resort Hotel,56.01,3,8,0
Resort Hotel,110.7,4,10,0
Resort Hotel,88.2,0,1,0
Resort Hotel,147.0,0,1,0
Resort Hotel,107.0,0,1,0
Resort Hotel,147.0,0,1,0
Resort Hotel,117.9,0,1,0
Resort Hotel,123.0,0,1,0
Resort Hotel,98.0,0,2,0
Resort Hotel,117.81,0,2,0
Resort Hotel,135.0,0,2,0
Resort Hotel,133.0,0,3,0
Resort Hotel,58.95,0,3,0
Resort Hotel,136.33,0,3,1
Resort Hotel,153.0,0,2,0
Resort Hotel,110.5,0,2,0
Resort Hotel,97.0,0,2,0
Resort Hotel,110.3,0,2,1
Resort Hotel,82.0,0,2,1
Resort Hotel,97.0,0,2,1
Resort Hotel,73.8,0,2,1
Resort Hotel,91.5,0,2,0
Resort Hotel,114.5,0,2,0
Resort Hotel,110.3,0,2,1
Resort Hotel,90.9,1,2,0
Resort Hotel,123.0,1,2,1
Resort Hotel,122.0,2,2,0
Resort Hotel,110.7,2,2,0
Resort Hotel,85.86,2,6,0
Resort Hotel,58.95,2,7,0
Resort Hotel,55.68,3,7,1
Resort Hotel,55.68,3,7,0
Resort Hotel,124.0,3,7,1
Resort Hotel,111.15,3,7,0
Resort Hotel,134.73,4,10,0
Resort Hotel,92.45,4,10,0
Resort Hotel,108.73,6,15,1
Resort Hotel,73.8,0,1,0
Resort Hotel,98.0,0,1,0
Resort Hotel,131.0,0,1,0
Resort Hotel,123.0,0,1,0
Resort Hotel,94.71,0,1,0
Resort Hotel,123.0,0,1,0
Resort Hotel,123.0,0,2,1
Resort Hotel,73.8,0,2,1
Resort Hotel,117.0,2,5,1
Resort Hotel,196.54,2,5,0
Resort Hotel,99.3,2,5,0
Resort Hotel,90.95,2,5,0
Resort Hotel,92.67,2,1,0
Resort Hotel,71.55,2,1,0
Resort Hotel,96.49,2,4,0
Resort Hotel,85.8,2,4,0
Resort Hotel,96.3,2,5,0
Resort Hotel,163.0,2,5,1
Resort Hotel,172.0,2,5,1
Resort Hotel,110.7,2,5,1
Resort Hotel,58.95,2,5,0
Resort Hotel,73.8,2,5,0
Resort Hotel,97.0,2,5,0
Resort Hotel,139.0,2,5,0
Resort Hotel,67.24,2,5,0
Resort Hotel,116.5,2,6,0
Resort Hotel,96.3,2,6,1
Resort Hotel,123.0,2,6,0
Resort Hotel,71.55,4,6,0
Resort Hotel,71.55,4,6,0
Resort Hotel,149.0,4,6,0
Resort Hotel,163.0,0,1,0
Resort Hotel,79.5,0,1,0
Resort Hotel,105.0,0,1,1
Resort Hotel,123.0,0,1,1
Resort Hotel,73.8,0,1,1
Resort Hotel,113.0,0,1,1
Resort Hotel,0.0,0,1,0
Resort Hotel,123.0,0,1,0
Resort Hotel,73.8,1,1,0
Resort Hotel,114.5,1,1,0
Resort Hotel,73.8,1,1,0
Resort Hotel,73.8,1,1,0
Resort Hotel,88.2,1,0,0
Resort Hotel,97.0,1,0,1
Resort Hotel,85.1,1,0,0
Resort Hotel,89.0,1,0,0
Resort Hotel,80.1,1,0,0
Resort Hotel,98.0,1,0,0
Resort Hotel,101.0,1,0,0
Resort Hotel,97.0,1,0,1
Resort Hotel,167.0,1,0,0
Resort Hotel,225.0,2,0,0
Resort Hotel,97.0,2,0,0
Resort Hotel,87.3,2,2,0
Resort Hotel,85.59,2,3,0
Resort Hotel,123.0,2,3,0
Resort Hotel,107.0,2,3,0
Resort Hotel,163.0,2,4,0
Resort Hotel,82.0,2,4,0
Resort Hotel,163.0,2,4,1
Resort Hotel,105.5,2,5,1
Resort Hotel,164.2,2,5,0
Resort Hotel,97.29,2,5,0
Resort Hotel,114.0,2,5,1
Resort Hotel,98.4,2,5,0
Resort Hotel,175.0,4,5,0
Resort Hotel,63.6,4,6,0
Resort Hotel,124.45,4,6,0
Resort Hotel,110.7,4,7,0
Resort Hotel,74.07,4,10,0
Resort Hotel,134.1,4,10,0
Resort Hotel,167.0,1,4,0
Resort Hotel,123.0,1,3,0
Resort Hotel,117.81,1,3,0
Resort Hotel,171.32,1,3,0
Resort Hotel,210.0,1,3,0
Resort Hotel,97.0,1,3,0
Resort Hotel,117.81,1,3,0
Resort Hotel,0.0,0,0,0
Resort Hotel,0.0,0,0,0
Resort Hotel,131.0,1,0,0
Resort Hotel,98.0,1,1,0
Resort Hotel,87.3,1,1,0
Resort Hotel,97.0,1,2,0
Resort Hotel,167.0,1,3,1
Resort Hotel,91.5,1,3,0
Resort Hotel,73.8,1,3,0
Resort Hotel,123.0,1,4,0
Resort Hotel,175.0,1,4,0
Resort Hotel,117.8,1,5,0
Resort Hotel,117.63,1,5,0
Resort Hotel,185.0,2,5,0
Resort Hotel,71.0,2,5,1
Resort Hotel,47.25,2,5,0
Resort Hotel,151.0,3,5,0
Resort Hotel,87.3,3,7,1
Resort Hotel,120.6,3,7,0
Resort Hotel,63.86,3,7,0
Resort Hotel,157.1,3,7,0
Resort Hotel,91.37,3,7,0
Resort Hotel,73.0,3,8,0
Resort Hotel,110.7,4,10,0
Resort Hotel,93.6,4,10,0
Resort Hotel,83.5,2,5,0
Resort Hotel,73.8,0,2,1
Resort Hotel,82.0,0,3,0
Resort Hotel,185.5,0,3,0
Resort Hotel,0.0,0,0,0
Resort Hotel,0.0,0,0,0
Resort Hotel,109.8,0,1,0
Resort Hotel,195.0,0,1,0
Resort Hotel,109.8,0,1,0
Resort Hotel,193.0,0,4,0
Resort Hotel,97.0,0,4,0
Resort Hotel,150.0,0,4,0
Resort Hotel,98.0,0,4,0
Resort Hotel,91.5,0,5,1
Resort Hotel,139.0,2,5,1
Resort Hotel,79.5,2,5,0
Resort Hotel,47.25,2,5,1
Resort Hotel,126.65,4,10,0
Resort Hotel,107.0,0,3,0
Resort Hotel,131.0,0,4,0
Resort Hotel,131.0,0,4,0
Resort Hotel,123.0,0,4,1
Resort Hotel,146.0,0,4,0
Resort Hotel,110.7,0,4,0
Resort Hotel,73.8,0,4,1
Resort Hotel,61.0,0,1,0
Resort Hotel,104.72,0,1,1
Resort Hotel,104.72,0,1,1
Resort Hotel,104.72,0,2,0
Resort Hotel,66.42,1,4,1
Resort Hotel,77.96,2,4,0
Resort Hotel,112.0,2,5,1
Resort Hotel,107.0,2,5,0
Resort Hotel,89.68,2,5,0
Resort Hotel,155.0,2,5,0
Resort Hotel,112.0,2,6,0
Resort Hotel,130.1,2,7,0
Resort Hotel,100.1,2,7,0
Resort Hotel,123.0,0,1,0
Resort Hotel,124.0,0,2,0
Resort Hotel,146.0,0,2,0
Resort Hotel,97.0,0,3,1
Resort Hotel,123.0,0,3,1
Resort Hotel,153.0,0,3,1
Resort Hotel,82.0,0,3,0
Resort Hotel,105.08,1,3,1
Resort Hotel,65.42,1,3,1
Resort Hotel,98.0,1,3,0
Resort Hotel,75.46,2,3,0
Resort Hotel,65.5,2,3,0
Resort Hotel,90.95,2,5,0
Resort Hotel,93.6,2,5,0
Resort Hotel,119.25,2,5,0
Resort Hotel,134.73,2,5,0
Resort Hotel,112.0,2,5,0
Resort Hotel,118.13,2,6,1
Resort Hotel,131.0,0,1,0
Resort Hotel,88.2,0,2,0
Resort Hotel,73.8,0,2,0
Resort Hotel,98.0,0,2,0
Resort Hotel,110.5,0,2,0
